gene	transcript	chromosome	start_position	end_position
MED13	ENST00000397786	17	60019966	60142643
NIPBL	ENST00000282516	5	36876861	37066515
SMC3	ENST00000361804	10	112327449	112364394
CNOT1	ENST00000317147	16	58553855	58663790
RLF	ENST00000372771	1	40627045	40706593
PCF11	ENST00000298281	11	82868030	82898493
FNDC3B	ENST00000336824	3	171757418	172119455
TAF1	ENST00000276072	X	70586114	70752224
RSF1	ENST00000308488	11	77371041	77532063
NCKAP1	ENST00000360982	2	183773843	183903586
KDM2A	ENST00000529006	11	66886740	67025558
BRD4	ENST00000263377	19	15347647	15443356
HELZ	ENST00000358691	17	65066554	65242105
FBN1	ENST00000316623	15	48700503	48938046
XPO1	ENST00000401558	2	61704984	61765761
PRR12	ENST00000418929	19	50094900	50129696
USP9X	ENST00000324545	X	40944888	41095832
POLA1	ENST00000379059	X	24712036	25015103
SYNGAP1	ENST00000418600	6	33387847	33421466
PRKDC	ENST00000314191	8	48685669	48872743
HDAC4	ENST00000345617	2	239969864	240323348
SMG1	ENST00000446231	16	18816175	18937776
ZC3H4	ENST00000253048	19	47567444	47617009
COL5A1	ENST00000371817	9	137533620	137736686
SMARCA4	ENST00000429416	19	11071598	11176071
TNPO1	ENST00000337273	5	72112139	72212560
AGO1	ENST00000373204	1	36335409	36395211
ARHGAP35	ENST00000404338	19	47421933	47508334
LRP1	ENST00000243077	12	57522276	57607134
TOP1	ENST00000361337	20	39657458	39753127
TRIP12	ENST00000283943	2	230628554	230787955
KMT2E	ENST00000311117	7	104654626	104754808
HCFC1	ENST00000310441	X	153213004	153237258
UBTF	ENST00000302904	17	42282401	42298994
HUWE1	ENST00000342160	X	53559057	53713673
KDM3B	ENST00000314358	5	137688285	137772717
TRRAP	ENST00000359863	7	98475556	98610866
GRIN2B	ENST00000609686	12	13693165	14133053
USP7	ENST00000344836	16	8985951	9058371
ATP1A3	ENST00000545399	19	42470734	42501649
ASH1L	ENST00000392403	1	155305059	155532598
ANKRD17	ENST00000358602	4	73939093	74124515
SMC1A	ENST00000322213	X	53401070	53449677
NPEPPS	ENST00000322157	17	45600308	45700642
CHERP	ENST00000546361	19	16628700	16653341
MED13L	ENST00000281928	12	116395711	116715143
RPRD2	ENST00000369068	1	150335567	150449042
KMT2A	ENST00000534358	11	118307205	118397539
CREBBP	ENST00000262367	16	3775055	3930727
SF3B1	ENST00000335508	2	198254508	198299815
EIF3B	ENST00000360876	7	2393721	2420380
PPFIA1	ENST00000253925	11	70116806	70230509
ZSWIM6	ENST00000252744	5	60628100	60841997
PRPF3	ENST00000324862	1	150293925	150325671
KAT6A	ENST00000396930	8	41786997	41909508
KMT2B	ENST00000222270	19	36208921	36229779
SIN3A	ENST00000394947	15	75661720	75748183
CHD2	ENST00000394196	15	93426526	93571237
ARID1A	ENST00000324856	1	27022524	27108595
GLTSCR1L	ENST00000314073	6	42749765	42836298
SCN1A	ENST00000303395	2	166845670	166984523
MED12	ENST00000374080	X	70338406	70362303
TJP1	ENST00000346128	15	29991571	30261068
SPEN	ENST00000375759	1	16174359	16266955
WDFY3	ENST00000295888	4	85590704	85887544
HDAC6	ENST00000334136	X	48659784	48683392
EHMT1	ENST00000460843	9	140513444	140764468
JMJD1C	ENST00000399262	10	64926981	65225722
MAP3K12	ENST00000547035	12	53874274	53893847
GGNBP2	ENST00000304718	17	34900737	34946278
CASK	ENST00000378166	X	41374187	41782716
TLE3	ENST00000558939	15	70340129	70390515
CHD6	ENST00000373233	20	40030741	40247133
UBR5	ENST00000520539	8	103265240	103425069
EIF4G1	ENST00000424196	3	184032283	184053146
NBEA	ENST00000400445	13	35516424	36247159
SMARCA5	ENST00000283131	4	144434616	144478639
TSC2	ENST00000219476	16	2097466	2138716
SUPT5H	ENST00000599117	19	39926796	39967310
GREB1L	ENST00000580732	18	18822203	19105378
PTCH1	ENST00000331920	9	98205262	98279339
CHD7	ENST00000423902	8	61591337	61779465
RAD54L2	ENST00000409535	3	51575160	51702683
CNOT3	ENST00000406403	19	54641444	54659419
AHDC1	ENST00000374011	1	27860546	27930942
U2SURP	ENST00000473835	3	142683339	142779567
RBM25	ENST00000261973	14	73525144	73588122
GIGYF2	ENST00000409451	2	233562009	233725285
MBTD1	ENST00000586178	17	49254786	49337524
DCAF5	ENST00000341516	14	69517598	69619867
SUV420H1	ENST00000304363	11	67922330	67981295
RABGAP1	ENST00000373647	9	125703112	125867145
KHSRP	ENST00000398148	19	6413359	6424805
TM9SF2	ENST00000376387	13	100153671	100216260
MATR3	ENST00000394805	5	138609441	138667360
PHF21A	ENST00000418153	11	45950871	46142985
NAV1	ENST00000367296	1	201592411	201796102
HIVEP2	ENST00000367603	6	143072604	143266338
OGT	ENST00000373719	X	70752933	70795747
RBBP6	ENST00000319715	16	24549014	24584184
GTPBP4	ENST00000360803	10	1034338	1065876
MYBL1	ENST00000522677	8	67474410	67526482
TEX11	ENST00000395889	X	69748790	70128581
DYNC1H1	ENST00000360184	14	102430865	102517129
SBNO1	ENST00000420886	12	123773656	123849390
THOC2	ENST00000245838	X	122734412	122866906
PRKCB	ENST00000303531	16	23847322	24231932
INO80	ENST00000361937	15	41271078	41408552
TAF4	ENST00000252996	20	60528525	60640866
FLNA	ENST00000369850	X	153576892	153603006
TRIM28	ENST00000253024	19	59055458	59062089
CHD8	ENST00000399982	14	21853353	21924285
RBM33	ENST00000401878	7	155437145	155574179
SNRNP200	ENST00000323853	2	96940074	96971297
XPO6	ENST00000304658	16	28109300	28223241
SMARCAD1	ENST00000359052	4	95128762	95212443
FRMPD4	ENST00000380682	X	12156585	12742642
MACF1	ENST00000545844	1	39546988	39952849
WAC	ENST00000354911	10	28821422	28912041
BRWD3	ENST00000373275	X	79926353	80065187
C17orf104	ENST00000409122	17	42733762	42767676
ATP2B1	ENST00000428670	12	89981828	90103077
EIF4G2	ENST00000526148	11	10818597	10830657
ZNF462	ENST00000277225	9	109625378	109775915
WDR26	ENST00000414423	1	224572845	224624735
CUL4B	ENST00000404115	X	119658464	119709649
TRIM33	ENST00000358465	1	114935399	115053781
STXBP1	ENST00000373302	9	130374544	130457460
TOPBP1	ENST00000260810	3	133317019	133380737
NF2	ENST00000338641	22	29999545	30094587
TET3	ENST00000409262	2	74229840	74335303
MN1	ENST00000302326	22	28144265	28197486
SUPT6H	ENST00000314616	17	26989109	27029697
RP11-762I7.5	ENST00000546837	12	56151059	56221330
NHS	ENST00000380060	X	17393543	17754114
RPS6KA3	ENST00000379565	X	20168029	20285523
MYT1L	ENST00000428368	2	1792885	2335032
UBP1	ENST00000283629	3	33429828	33482863
PLCL2	ENST00000418129	3	16844159	17132086
SPTBN1	ENST00000356805	2	54683422	54896812
MYH9	ENST00000216181	22	36677327	36784063
ZDHHC5	ENST00000287169	11	57435219	57468659
LUC7L3	ENST00000505658	17	48796905	48833574
COPB2	ENST00000333188	3	139074442	139108574
DNAJC14	ENST00000357606	12	56214744	56224608
RNF17	ENST00000255324	13	25338290	25454059
ANK3	ENST00000280772	10	61786056	62493248
F8	ENST00000360256	X	154064063	154255215
TM9SF3	ENST00000371142	10	98277866	98347209
DLG3	ENST00000374360	X	69664711	69725337
MGA	ENST00000219905	15	41913422	42062141
ANKRD52	ENST00000267116	12	56631591	56652175
STAG2	ENST00000218089	X	123094062	123556514
SATB2	ENST00000417098	2	200134223	200335989
USP34	ENST00000398571	2	61414598	61697904
MAP3K2	ENST00000409947	2	128056306	128146041
PREX1	ENST00000371941	20	47240790	47444420
MED14	ENST00000324817	X	40507558	40595110
CYFIP2	ENST00000521420	5	156693089	156822606
ZNF407	ENST00000299687	18	72265106	72777627
KPNB1	ENST00000290158	17	45726842	45762871
ETV5	ENST00000306376	3	185764097	185828107
CUL2	ENST00000537177	10	35297479	35379570
HNRNPM	ENST00000325495	19	8509651	8553998
PIAS1	ENST00000249636	15	68346517	68483096
DAAM2	ENST00000398904	6	39760142	39872648
EFTUD2	ENST00000426333	17	42927311	42977030
YTHDC1	ENST00000344157	4	69176105	69215807
NCBP1	ENST00000375147	9	100395908	100436030
TCF20	ENST00000359486	22	42556019	42739622
DLL1	ENST00000366756	6	170591294	170599561
UBR4	ENST00000375254	1	19401000	19536770
STAT3	ENST00000264657	17	40465342	40540586
IGF2BP3	ENST00000258729	7	23349828	23510086
NSD1	ENST00000439151	5	176560026	176727216
SRCAP	ENST00000262518	16	30709530	30755602
ZNF777	ENST00000247930	7	149128454	149158214
HNRNPK	ENST00000376263	9	86582998	86595569
SCAF8	ENST00000367178	6	155054459	155155192
ARID2	ENST00000334344	12	46123448	46301823
CCT3	ENST00000295688	1	156278759	156337664
COL5A2	ENST00000374866	2	189896622	190044605
PHC3	ENST00000495893	3	169804520	169899537
GATAD2B	ENST00000368655	1	153777201	153895451
FBXO11	ENST00000403359	2	48016455	48132932
NOTCH1	ENST00000277541	9	139388896	139440314
COL3A1	ENST00000304636	2	189839046	189877472
PPP3CB	ENST00000394829	10	75196186	75255782
ILF3	ENST00000449870	19	10764937	10803093
PLEKHA5	ENST00000429027	12	19282648	19529334
ZNF521	ENST00000361524	18	22641890	22932154
TAB2	ENST00000367456	6	149539777	149732749
